APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Search_Type
2016.0,2016R01CA168601,338291.0,Target_Only
2015.0,2015R01CA168899,366885.0,Target_Only
2017.0,2017R01CA186780,389876.0,Target_Only
2016.0,2016R01CA188214,708848.0,Target_Only
2015.0,2015R01CA190289,406921.0,Target_Only
2017.0,2017R01CA206592,420522.0,Target_Only
2009.0,2009R01AG014673,678530.0,Target_Only
2013.0,2013R01AG016592,1024162.0,Target_Only
2012.0,2012R01AG014358,328549.0,Target_Only
2011.0,2011R01AG020098,448100.0,Target_Only
2007.0,2007R01AG021948,426044.0,Target_Only
2016.0,2016R01AG023629,167743.0,Target_Only
2014.0,2014R01AG023629,960053.0,Target_Only
2012.0,2012R01AG027847,648374.0,Target_Only
2010.0,2010R01AG026564,635506.0,Target_Only
2011.0,2011R01AG029612,390690.0,Target_Only
2010.0,2010R01AG030598,411361.0,Target_Only
2014.0,2014R01AG033193,839178.0,Target_Only
2012.0,2012R01AG036670,830718.0,Target_Only
2015.0,2015R01AG048022,392656.0,Target_Only
2013.0,2013R01ES004344,433762.0,Target_Only
2009.0,2009R01ES009246,517487.0,Target_Only
2014.0,2014R01ES009649,372161.0,Target_Only
2006.0,2006R01ES011295,438760.0,Target_Only
2007.0,2007R01ES011803,398380.0,Target_Only
2005.0,2005R01ES011803,473580.0,Target_Only
2006.0,2006R01ES012916,317366.0,Target_Only
2007.0,2007R01ES012893,531964.0,Target_Only
2009.0,2009R01ES013495,340931.0,Target_Only
2012.0,2012R01ES019178,543271.0,Target_Only
2011.0,2011R01ES019178,532797.0,Target_Only
2010.0,2010R01ES019178,466253.0,Target_Only
2017.0,2017R01ES023834,633777.0,Target_Only
2014.0,2014R01GM031001,846068.0,Target_Only
2014.0,2014R01GM033775,411014.0,Target_Only
2013.0,2013R01GM033775,409595.0,Target_Only
2003.0,2003R01GM058897,937064.0,Target_Only
2005.0,2005R01GM060402,303790.0,Target_Only
2012.0,2012R01GM069753,305812.0,Target_Only
2013.0,2013R01GM073241,309022.0,Target_Only
2008.0,2008R01GM073241,286271.0,Target_Only
2007.0,2007R01GM073241,308686.0,Target_Only
2006.0,2006R01GM073241,336276.0,Target_Only
2012.0,2012R01GM073020,407547.0,Target_Only
2011.0,2011R01GM073020,424564.0,Target_Only
2009.0,2009R01GM073020,476270.0,Target_Only
2008.0,2008R01GM073020,395686.0,Target_Only
2014.0,2014R01GM076343,353709.0,Target_Only
2013.0,2013R01GM076343,353069.0,Target_Only
2012.0,2012R01GM076343,377266.0,Target_Only
2018.0,2018R01GM086596,397800.0,Target_Only
2016.0,2016R01GM086596,607471.0,Target_Only
2015.0,2015R01GM086596,377563.0,Target_Only
2012.0,2012R01GM031756,451499.0,Target_Only
2013.0,2013R01GM096117,280724.0,Target_Only
2014.0,2014R01GM094209,400697.0,Target_Only
2015.0,2015R01GM099143,363716.0,Target_Only
2015.0,2015R01GM102505,312374.0,Target_Only
2014.0,2014R01GM102505,382177.0,Target_Only
2015.0,2015R01GM101048,325001.0,Target_Only
2016.0,2016R01GM103937,450225.0,Target_Only
2015.0,2015R01GM103937,461658.0,Target_Only
2016.0,2016R01GM110790,464796.0,Target_Only
2016.0,2016R01GM110428,436983.0,Target_Only
2015.0,2015R01GM110428,455838.0,Target_Only
2020.0,2020R01GM118122,362554.0,Target_Only
2019.0,2019R01GM118122,452404.0,Target_Only
2018.0,2018R01GM118122,368951.0,Target_Only
2017.0,2017R01GM118122,387175.0,Target_Only
2016.0,2016R01GM118122,403829.0,Target_Only
2016.0,2016R01GM114369,469104.0,Target_Only
2020.0,2020R01GM125303,223907.0,Target_Only
2018.0,2018R01GM125303,264378.0,Target_Only
2019.0,2019R01GM130997,450673.0,Target_Only
2007.0,2007R01HD013294,854291.0,Target_Only
1999.0,1999R01HD013294,0.0,Target_Only
2004.0,2004R01HD016393,459606.0,Target_Only
2002.0,2002R01HD016393,506741.0,Target_Only
2000.0,2000R01HD016393,462533.0,Target_Only
1999.0,1999R01HD016806,0.0,Target_Only
2000.0,2000R01HD020869,678179.0,Target_Only
2009.0,2009R01HD021341,824502.0,Target_Only
2011.0,2011R01HD024870,404481.0,Target_Only
2005.0,2005R01HD027970,548682.0,Target_Only
2004.0,2004R01HD027970,586435.0,Target_Only
2003.0,2003R01HD027970,618086.0,Target_Only
2001.0,2001R01HD027970,645729.0,Target_Only
2000.0,2000R01HD027970,603025.0,Target_Only
