PMID,search_term,search_type
34042199,aspirin,Drug
34041918,aspirin,Drug
34041846,aspirin,Drug
34041330,aspirin,Drug
34041185,aspirin,Drug
34040463,aspirin,Drug
34040183,aspirin,Drug
34039715,aspirin,Drug
34039362,aspirin,Drug
34039032,aspirin,Drug
34036308,aspirin,Drug
34035736,aspirin,Drug
34035674,aspirin,Drug
34034959,aspirin,Drug
34034368,aspirin,Drug
34033814,aspirin,Drug
34033661,aspirin,Drug
34033145,aspirin,Drug
34032727,aspirin,Drug
34032469,aspirin,Drug
34031865,aspirin,Drug
34031138,aspirin,Drug
34031020,aspirin,Drug
34029712,aspirin,Drug
34028396,aspirin,Drug
34027331,aspirin,Drug
34027223,aspirin,Drug
34026676,aspirin,Drug
34024538,aspirin,Drug
34022927,aspirin,Drug
34022137,aspirin,Drug
34021947,aspirin,Drug
34021344,aspirin,Drug
34021251,aspirin,Drug
34021038,aspirin,Drug
34019782,aspirin,Drug
34017838,aspirin,Drug
34017431,aspirin,Drug
34016636,aspirin,Drug
34016116,aspirin,Drug
34016022,aspirin,Drug
34014060,aspirin,Drug
34013488,aspirin,Drug
34013406,aspirin,Drug
34012473,aspirin,Drug
34011649,aspirin,Drug
34011436,aspirin,Drug
34011127,aspirin,Drug
34010722,aspirin,Drug
34010631,aspirin,Drug
34010616,aspirin,Drug
34010070,aspirin,Drug
34008421,aspirin,Drug
34007830,aspirin,Drug
34006274,aspirin,Drug
34006266,aspirin,Drug
34006186,aspirin,Drug
34004275,aspirin,Drug
34003664,aspirin,Drug
34003663,aspirin,Drug
34002371,aspirin,Drug
34000740,aspirin,Drug
34000466,aspirin,Drug
34000418,aspirin,Drug
34000356,aspirin,Drug
33999548,aspirin,Drug
33999542,aspirin,Drug
33999375,aspirin,Drug
33999149,aspirin,Drug
33998246,aspirin,Drug
33998099,aspirin,Drug
33998078,aspirin,Drug
33997056,aspirin,Drug
33996861,aspirin,Drug
33996339,aspirin,Drug
33995777,aspirin,Drug
33995000,aspirin,Drug
33993103,aspirin,Drug
33991865,aspirin,Drug
33991579,aspirin,Drug
33991416,aspirin,Drug
33990657,aspirin,Drug
33989981,aspirin,Drug
33989394,aspirin,Drug
33988836,aspirin,Drug
33988346,aspirin,Drug
33987897,aspirin,Drug
33986674,aspirin,Drug
33985682,aspirin,Drug
33985681,aspirin,Drug
33984722,aspirin,Drug
33982995,aspirin,Drug
33979377,aspirin,Drug
33978416,aspirin,Drug
33978350,aspirin,Drug
33978269,aspirin,Drug
33977354,aspirin,Drug
33976685,aspirin,Drug
33976662,aspirin,Drug
33975680,aspirin,Drug
33974712,aspirin,Drug
33974468,aspirin,Drug
33974285,aspirin,Drug
33973929,aspirin,Drug
33973823,aspirin,Drug
33972744,aspirin,Drug
33972336,aspirin,Drug
33972075,aspirin,Drug
33971933,aspirin,Drug
33970095,aspirin,Drug
33969115,aspirin,Drug
33968625,aspirin,Drug
33968469,aspirin,Drug
33967038,aspirin,Drug
33967020,aspirin,Drug
33966411,aspirin,Drug
33966083,aspirin,Drug
33965591,aspirin,Drug
33965468,aspirin,Drug
33965157,aspirin,Drug
33964863,aspirin,Drug
33964802,aspirin,Drug
33964664,aspirin,Drug
33964545,aspirin,Drug
33962742,aspirin,Drug
33962140,aspirin,Drug
33962014,aspirin,Drug
33961242,aspirin,Drug
33961154,aspirin,Drug
33960518,aspirin,Drug
33959001,aspirin,Drug
33957178,aspirin,Drug
33956420,aspirin,Drug
33956403,aspirin,Drug
33954200,aspirin,Drug
33954004,aspirin,Drug
33953974,aspirin,Drug
33953800,aspirin,Drug
33953615,aspirin,Drug
33952877,aspirin,Drug
33952670,aspirin,Drug
33950874,aspirin,Drug
33950579,aspirin,Drug
33950207,aspirin,Drug
33949918,aspirin,Drug
33948560,aspirin,Drug
33948059,aspirin,Drug
33947652,aspirin,Drug
33947557,aspirin,Drug
33947403,aspirin,Drug
33946834,aspirin,Drug
33944857,aspirin,Drug
33942350,aspirin,Drug
33941290,aspirin,Drug
33940954,aspirin,Drug
33940651,aspirin,Drug
33940641,aspirin,Drug
33940597,aspirin,Drug
33940078,aspirin,Drug
33936903,aspirin,Drug
33936902,aspirin,Drug
33936713,aspirin,Drug
33936566,aspirin,Drug
33934017,aspirin,Drug
33933364,aspirin,Drug
33932457,aspirin,Drug
33930435,aspirin,Drug
33930107,aspirin,Drug
33929108,aspirin,Drug
33928791,aspirin,Drug
33927846,aspirin,Drug
33927682,aspirin,Drug
33926204,aspirin,Drug
33923802,aspirin,Drug
33923527,aspirin,Drug
33923493,aspirin,Drug
33922831,aspirin,Drug
33920786,aspirin,Drug
33920569,aspirin,Drug
33919943,aspirin,Drug
33919715,aspirin,Drug
33918289,aspirin,Drug
33917483,aspirin,Drug
33915096,aspirin,Drug
33914645,aspirin,Drug
33914255,aspirin,Drug
33914148,aspirin,Drug
33913652,aspirin,Drug
33913651,aspirin,Drug
33913650,aspirin,Drug
33913649,aspirin,Drug
33913648,aspirin,Drug
33913549,aspirin,Drug
33909676,aspirin,Drug
33908550,aspirin,Drug
33908207,aspirin,Drug
33907758,aspirin,Drug
33907551,aspirin,Drug
33907108,aspirin,Drug
33906258,aspirin,Drug
33905843,aspirin,Drug
33905579,aspirin,Drug
33902757,aspirin,Drug
33902417,aspirin,Drug
33902301,aspirin,Drug
33902044,aspirin,Drug
33900993,aspirin,Drug
33898483,aspirin,Drug
33898135,aspirin,Drug
33895438,aspirin,Drug
33895426,aspirin,Drug
33894147,aspirin,Drug
33893936,aspirin,Drug
33893908,aspirin,Drug
33893087,aspirin,Drug
33892819,aspirin,Drug
33892507,aspirin,Drug
33892182,aspirin,Drug
33891679,aspirin,Drug
33889609,aspirin,Drug
33888996,aspirin,Drug
33888963,aspirin,Drug
33888386,aspirin,Drug
33888226,aspirin,Drug
33888225,aspirin,Drug
33888223,aspirin,Drug
33883511,aspirin,Drug
33883461,aspirin,Drug
33883107,aspirin,Drug
33882590,aspirin,Drug
33881717,aspirin,Drug
33879966,aspirin,Drug
33879541,aspirin,Drug
33879508,aspirin,Drug
33878658,aspirin,Drug
33878160,aspirin,Drug
